crossing_name,total_length_m,distance_m
Avenue Christophe Colombe Crossing,6618.529480660227,400
Avenue Papineau Crossing,7320.931053984943,400
Avenue Thèrése-Lavoie-Roux Crossing,4139.315364910866,400
Avenue de Lorimier Crossing,6745.625973833858,400
Avenue de l’Épée Crossing,3032.855962682736,400
Avenue du Parc Crossing (Beaumont),4511.783968940145,400
Avenue du Parc Crossing (van Horne),3454.7854050488318,400
Boulevard Rosemont Crossing,9244.059726498801,400
Boulevard Saint Laurent Crossing,10546.456939401916,400
Campus MIL Overpass,4421.256184417651,400
Gare du Parc Crossing,4676.466650959656,400
Outdoor Gym Crossing,8299.45758897985,400
Rue Cartier Crossing,6957.179483607746,400
Rue Clarke Crossing,6934.950109687972,400
Rue Masson Crossing,6992.261382680441,400
Rue Saint Denis Crossing,5915.527756001244,400
Rue Saint Hubert Crossing,8450.264722515856,400
Skatepark Crossing,9303.285297189937,400
Avenue Christophe Colombe Crossing,22863.079902780537,800
Avenue Papineau Crossing,24814.53631662004,800
Avenue Thèrése-Lavoie-Roux Crossing,10712.947779678198,800
Avenue de Lorimier Crossing,23469.159679599965,800
Avenue de l’Épée Crossing,11513.914023106849,800
Avenue du Parc Crossing (Beaumont),13984.015270877811,800
Avenue du Parc Crossing (van Horne),17203.889378942873,800
Boulevard Rosemont Crossing,24638.60494669465,800
Boulevard Saint Laurent Crossing,27395.419253489526,800
Campus MIL Overpass,17964.863318671978,800
Gare du Parc Crossing,19453.403331921214,800
Outdoor Gym Crossing,25085.697102711074,800
Rue Cartier Crossing,24437.49047017092,800
Rue Clarke Crossing,24670.784786294636,800
Rue Masson Crossing,19338.991661210523,800
Rue Saint Denis Crossing,24704.91203854302,800
Rue Saint Hubert Crossing,24786.25665936773,800
Skatepark Crossing,29122.920963425677,800
